饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
FN57（StatTrak™） | 狩猎利器 (破损不堪),$3.34 USD,39
M4A1 消音型 | 次时代 (破损不堪),$6.90 USD,104
M4A1 消音型 | 神来之作 (破损不堪),$25.20 USD,23
格洛克 18 型（StatTrak™） | 水灵 (久经沙场),$12.34 USD,170
内格夫（StatTrak™） | 沙漠精英 (战痕累累),$0.19 USD,152
FN57（StatTrak™） | 狩猎利器 (久经沙场),$3.45 USD,65
CZ75（StatTrak™） | 猛虎 (战痕累累),$0.97 USD,133
FN57 | 狩猎利器 (破损不堪),$1.50 USD,155
PP-野牛 | 死亡主宰者 (破损不堪),$0.40 USD,199
FN57 | 狩猎利器 (战痕累累),$1.57 USD,192
FN57 | 狩猎利器 (久经沙场),$1.64 USD,310
新星（StatTrak™） | 锦鲤 (略有磨损),$2.14 USD,104
P2000 | 乳白象牙 (崭新出厂),$0.46 USD,236
CZ75（StatTrak™） | 猛虎 (久经沙场),$1.24 USD,200
P2000（StatTrak™） | 乳白象牙 (破损不堪),$0.16 USD,1518
P2000（StatTrak™） | 乳白象牙 (战痕累累),$0.15 USD,814
P90 | 二西莫夫 (久经沙场),$8.17 USD,206
P2000（StatTrak™） | 乳白象牙 (略有磨损),$0.39 USD,453
CZ75 | 猛虎 (略有磨损),$0.63 USD,529
P2000 | 乳白象牙 (战痕累累),$0.08 USD,594
USP 消音版 | 商业皮革 (略有磨损),$22.73 USD,19
截短霰弹枪 | 外表生锈 (崭新出厂),$17.62 USD,22
截短霰弹枪 | 至高皮革 (崭新出厂),$44.29 USD,11
UMP-45 | 紫青之色 (崭新出厂),$5.11 USD,25
截短霰弹枪 | 贤者涂装 (破损不堪),$0.14 USD,114
P250（StatTrak™） | 钢铁禁锢 (崭新出厂),$3.79 USD,197
G3SG1（StatTrak™） | 碧蓝斑纹 (久经沙场),$3.14 USD,47
MP9（StatTrak™） | 铁血玫瑰 (略有磨损),$12.22 USD,91
PP-野牛（StatTrak™） | 水纹之印 (久经沙场),$3.26 USD,130
加利尔 AR（StatTrak™） | 蓝钛 (崭新出厂),$4.63 USD,195
法玛斯 | 残影 (久经沙场),$21.00 USD,37
沙漠之鹰 | 钴蓝禁锢 (久经沙场),$34.61 USD,13
法玛斯（StatTrak™） | 残影 (久经沙场),$18.23 USD,13
FN57 | 夜影 (破损不堪),$1.09 USD,44
双持贝瑞塔 | 海斗士 (破损不堪),$4.00 USD,25
新星 | 幽灵迷彩 (略有磨损),$0.94 USD,61
新星（StatTrak™） | 幽灵迷彩 (略有磨损),$3.58 USD,65
截短霰弹枪（StatTrak™） | 北海巨妖 (略有磨损),$24.75 USD,10
AWP | 电子蜂巢 (破损不堪),$30.67 USD,15
FN57（StatTrak™） | 夜影 (略有磨损),$3.41 USD,130
AWP | 电子蜂巢 (久经沙场),$26.12 USD,126
沙漠之鹰（StatTrak™） | 钴蓝禁锢 (略有磨损),$77.57 USD,12
AWP（StatTrak™） | 电子蜂巢 (久经沙场),$45.10 USD,36
AK-47（StatTrak™） | 蓝色层压板 (久经沙场),$17.98 USD,188
P90（StatTrak™） | 盲点 (崭新出厂),$12.43 USD,77
FN57 | 夜影 (战痕累累),$1.19 USD,44
新星 | 幽灵迷彩 (破损不堪),$2.03 USD,17
沙漠之鹰 | 钴蓝禁锢 (略有磨损),$38.67 USD,91
AWP（StatTrak™） | 红线 (略有磨损),$129.92 USD,30
新星（StatTrak™） | 惊惧骷髅 (崭新出厂),$10.70 USD,35
AUG | 暴风呼啸 (崭新出厂),$0.16 USD,581
FN57（StatTrak™） | 夜影 (战痕累累),$3.33 USD,17
P250（StatTrak™） | 曼海蒂 (略有磨损),$35.59 USD,15
截短霰弹枪（StatTrak™） | 北海巨妖 (久经沙场),$15.22 USD,11
AK-47（StatTrak™） | 蓝色层压板 (破损不堪),$27.29 USD,14
P250 | 曼海蒂 (崭新出厂),$23.00 USD,25
M4A1 消音型 | 守护者 (破损不堪),$11.13 USD,40
AWP（StatTrak™） | 电子蜂巢 (略有磨损),$67.00 USD,22
印花 | 幸运十三,$0.57 USD,106
印花 | 警戒者（全息）,$1.91 USD,72
印花 | 搜索并毁灭,$0.52 USD,110
MP9（StatTrak™） | 铁血玫瑰 (久经沙场),$9.69 USD,29
M4A1 消音型（StatTrak™） | 守护者 (崭新出厂),$66.94 USD,33
PP-野牛（StatTrak™） | 钻蓝半调 (破损不堪),$0.89 USD,93
双持贝瑞塔 | 海斗士 (战痕累累),$4.20 USD,27
AK-47 | 蓝色层压板 (破损不堪),$11.01 USD,113
M4A1 消音型（StatTrak™） | 守护者 (久经沙场),$40.25 USD,60
MP9（StatTrak™） | 铁血玫瑰 (崭新出厂),$18.75 USD,78
法玛斯（StatTrak™） | 残影 (崭新出厂),$47.47 USD,9
双持贝瑞塔 | 海斗士 (崭新出厂),$10.73 USD,22
M4A4 | 二西莫夫 (久经沙场),$173.24 USD,68
加利尔 AR | 沙尘暴 (破损不堪),$0.76 USD,60
P250 | 曼海蒂 (战痕累累),$9.39 USD,18
P90（StatTrak™） | 盲点 (略有磨损),$10.35 USD,46
M4A4（StatTrak™） | X 光 (崭新出厂),$85.86 USD,13
加利尔 AR（StatTrak™） | 沙尘暴 (破损不堪),$1.22 USD,94
法玛斯 | 电子脉冲 (破损不堪),$5.19 USD,32
新星 | 惊惧骷髅 (久经沙场),$3.60 USD,90
法玛斯 | 电子脉冲 (略有磨损),$4.50 USD,182
加利尔 AR | 沙尘暴 (略有磨损),$2.27 USD,167
新星（StatTrak™） | 惊惧骷髅 (久经沙场),$6.21 USD,37
FN57 | 神祗 (久经沙场),$0.65 USD,151
PP-野牛（StatTrak™） | 钻蓝半调 (久经沙场),$0.97 USD,222
双持贝瑞塔（StatTrak™） | 海斗士 (略有磨损),$10.23 USD,38
双持贝瑞塔 | 海斗士 (略有磨损),$4.22 USD,124
M249（StatTrak™） | 岩浆 (略有磨损),$1.29 USD,139
法玛斯（StatTrak™） | 电子脉冲 (久经沙场),$6.90 USD,97
M4A1 消音型 | 守护者 (久经沙场),$13.00 USD,193
法玛斯 | 残影 (崭新出厂),$60.81 USD,20
AK-47（StatTrak™） | 蓝色层压板 (崭新出厂),$29.38 USD,145
M249（StatTrak™） | 岩浆 (久经沙场),$0.93 USD,141
M249（StatTrak™） | 岩浆 (崭新出厂),$1.78 USD,73
M4A4（StatTrak™） | 二西莫夫 (战痕累累),$159.32 USD,10
新星（StatTrak™） | 幽灵迷彩 (崭新出厂),$3.48 USD,73
新星 | 幽灵迷彩 (久经沙场),$0.97 USD,94
AWP | 电子蜂巢 (崭新出厂),$60.30 USD,188
G3SG1 | 碧蓝斑纹 (久经沙场),$0.88 USD,58
新星 | 惊惧骷髅 (略有磨损),$3.83 USD,71
P250 | 钢铁禁锢 (略有磨损),$1.12 USD,132
FN57 | 神祗 (崭新出厂),$1.03 USD,279
AK-47（StatTrak™） | 蓝色层压板 (略有磨损),$21.00 USD,189
加利尔 AR | 沙尘暴 (久经沙场),$0.62 USD,335
PP-野牛 | 水纹之印 (略有磨损),$1.01 USD,72
PP-野牛 | 水纹之印 (破损不堪),$1.03 USD,72
MP9 | 铁血玫瑰 (略有磨损),$6.80 USD,128
M249 | 岩浆 (崭新出厂),$1.06 USD,82
截短霰弹枪 | 渐变琥珀 (破损不堪),$0.55 USD,143
P2000 | 渐变琥珀 (破损不堪),$4.72 USD,55
SG 553（纪念品） | 大马士革钢 (崭新出厂),$83.03 USD,4
MAG-7（纪念品） | 威吓者 (破损不堪),$6.02 USD,15
G3SG1（纪念品） | 沙漠风暴 (崭新出厂),$6.93 USD,23
P90（纪念品） | 白蜡木 (破损不堪),$1.56 USD,27
MP9 | 橘皮涂装 (崭新出厂),$0.39 USD,154
双持贝瑞塔（StatTrak™） | 海斗士 (久经沙场),$6.45 USD,84
G3SG1 | 碧蓝斑纹 (崭新出厂),$1.19 USD,113
MAG-7 | 威吓者 (崭新出厂),$100.54 USD,3
双持贝瑞塔 | 海斗士 (久经沙场),$3.73 USD,111
PP-野牛 | 水纹之印 (战痕累累),$0.96 USD,72
G3SG1（StatTrak™） | 碧蓝斑纹 (崭新出厂),$3.46 USD,152
电竞钥匙,$4.98 USD,151
FN57 | 夜影 (久经沙场),$0.94 USD,151
P90 | 盲点 (久经沙场),$6.73 USD,136
新星 | 惊惧骷髅 (崭新出厂),$4.90 USD,70
G3SG1 | 碧蓝斑纹 (略有磨损),$0.94 USD,148
PP-野牛 | 钻蓝半调 (破损不堪),$0.61 USD,68
P2000（纪念品） | 渐变琥珀 (久经沙场),$7.79 USD,24
MP7（纪念品） | 橘皮涂装 (战痕累累),$0.63 USD,58
UMP-45（纪念品） | 硝烟 (战痕累累),$19.22 USD,8
MAG-7（纪念品） | 金属 DDPAT (略有磨损),$4.25 USD,14
AK-47（纪念品） | 狩猎网格 (略有磨损),$18.86 USD,62
M4A4（纪念品） | 都市 DDPAT (战痕累累),$4.56 USD,42
FN57（纪念品） | 橘皮涂装 (战痕累累),$0.65 USD,86
截短霰弹枪（纪念品） | 渐变琥珀 (崭新出厂),$4.02 USD,54
SSG 08（纪念品） | 热带风暴 (战痕累累),$2.65 USD,73
P2000 | 坚毅大理石纹 (崭新出厂),$0.34 USD,131
M4A4 | 都市 DDPAT (崭新出厂),$3.83 USD,178
MAG-7（纪念品） | 威吓者 (战痕累累),$4.55 USD,27
AUG | 众枪之的 (崭新出厂),$0.53 USD,170
MAG-7（纪念品） | 威吓者 (久经沙场),$5.34 USD,39
PP-野牛（纪念品） | 黄铜 (战痕累累),$2.30 USD,35
MAC-10（纪念品） | 棕榈色 (略有磨损),$2.36 USD,72
MP7（纪念品） | 橘皮涂装 (略有磨损),$1.90 USD,96
加利尔 AR（纪念品） | 隐蔽猎手 (战痕累累),$1.06 USD,130
Tec-9（纪念品） | 多变迷彩 (略有磨损),$1.68 USD,76
MP9（纪念品） | 赤红新星 (崭新出厂),$45.02 USD,47
格洛克 18 型（纪念品） | 地下水 (战痕累累),$2.20 USD,106
MAC-10（纪念品） | 渐变琥珀 (略有磨损),$11.78 USD,22
PP-野牛（纪念品） | 黄铜 (破损不堪),$3.70 USD,30
格洛克 18 型（纪念品） | 地下水 (略有磨损),$5.92 USD,69
UMP-45 | 炽烈之炎 (略有磨损),$31.79 USD,16
AK-47（纪念品） | 狩猎网格 (破损不堪),$9.47 USD,37
SG 553 | 大马士革钢 (崭新出厂),$2.53 USD,146
P90（纪念品） | 枯焦之色 (略有磨损),$0.70 USD,200
法玛斯 | 湖蓝涂装 (崭新出厂),$1.04 USD,133
截短霰弹枪（纪念品） | 渐变琥珀 (久经沙场),$1.22 USD,77
MAC-10（纪念品） | 红苹果 (久经沙场),$3.56 USD,32
Tec-9（纪念品） | 多变迷彩 (崭新出厂),$3.02 USD,62
SG 553 | 深蓝电镀处理 (略有磨损),$1.07 USD,178
P90（纪念品） | 沙漠涂装 (战痕累累),$0.30 USD,170
P250（纪念品） | 金属 DDPAT (崭新出厂),$3.15 USD,186
内格夫（纪念品） | 加州迷彩 (略有磨损),$1.78 USD,84
SG 553（纪念品） | 大马士革钢 (久经沙场),$5.48 USD,36
沙漠之鹰 | 都市瓦砾 (战痕累累),$0.55 USD,231
M249 | 鳄鱼网格 (战痕累累),$0.09 USD,635
截短霰弹枪（纪念品） | 渐变琥珀 (略有磨损),$2.21 USD,54
M4A4（纪念品） | 都市 DDPAT (破损不堪),$5.24 USD,25
P90（纪念品） | 白蜡木 (略有磨损),$1.65 USD,62
FN57（纪念品） | 雇佣兵 (战痕累累),$0.34 USD,208
AUG（纪念品） | 殖民侵略者 (略有磨损),$0.99 USD,220
AK-47（纪念品） | 狩猎网格 (战痕累累),$9.60 USD,49
新星（纪念品） | 极地网格 (破损不堪),$0.25 USD,192
MAG-7 | 金属 DDPAT (略有磨损),$0.39 USD,218
沙漠之鹰（纪念品） | 都市瓦砾 (崭新出厂),$18.52 USD,40
MAC-10（纪念品） | 红苹果 (略有磨损),$5.22 USD,70
MP7 | 深蓝电镀处理 (略有磨损),$1.07 USD,173
MP9（纪念品） | 沙漠虚线 (久经沙场),$0.23 USD,430
P90（纪念品） | 沙漠涂装 (破损不堪),$0.31 USD,173
G3SG1 | 极地迷彩 (崭新出厂),$0.19 USD,268
SG 553（纪念品） | 鳄鱼网格 (略有磨损),$2.25 USD,97
PP-野牛 | 黄铜 (崭新出厂),$2.38 USD,188
SG 553 | 鳄鱼网格 (崭新出厂),$3.84 USD,56
P90（纪念品） | 沙漠涂装 (略有磨损),$0.70 USD,167
G3SG1（纪念品） | 沙漠风暴 (破损不堪),$0.29 USD,190
加利尔 AR（纪念品） | 隐蔽猎手 (略有磨损),$1.08 USD,193
P250（纪念品） | 沙丘之黄 (略有磨损),$1.43 USD,151
AWP | 狩猎网格 (崭新出厂),$2.46 USD,151
P90 | 摧枯拉朽 (战痕累累),$0.49 USD,351
新星（纪念品） | 极地网格 (战痕累累),$0.24 USD,199
XM1014 | 加州迷彩 (战痕累累),$0.09 USD,634
AK-47（纪念品） | 狩猎网格 (久经沙场),$9.45 USD,175
SCAR-20（纪念品） | 沙漠网格 (略有磨损),$0.47 USD,183
格洛克 18 型（纪念品） | 地下水 (破损不堪),$3.03 USD,50
P250（纪念品） | 骸骨外罩 (破损不堪),$0.49 USD,181
SSG 08（纪念品） | 热带风暴 (略有磨损),$4.88 USD,65
PP-野牛（纪念品） | 都市虚线 (战痕累累),$0.27 USD,159
格洛克 18 型 | 地下水 (战痕累累),$3.53 USD,38
M4A4（纪念品） | 都市 DDPAT (久经沙场),$5.19 USD,114
M4A1 消音型 | 多变迷彩 (战痕累累),$0.71 USD,585
新星（纪念品） | 捕食者 (略有磨损),$0.39 USD,185
MAG-7 | 威吓者 (略有磨损),$9.68 USD,80
P90 | 摧枯拉朽 (破损不堪),$0.49 USD,173
UMP-45 | 硝烟 (破损不堪),$0.09 USD,952
UMP-45（纪念品） | 都市 DDPAT (破损不堪),$0.31 USD,89
G3SG1（纪念品） | 沙漠风暴 (略有磨损),$0.60 USD,164
P250（StatTrak™） | 暗潮 (略有磨损),$34.09 USD,14
沙漠之鹰（StatTrak™） | 遗产 (崭新出厂),$52.34 USD,12
格洛克 18 型（StatTrak™） | 蓝色裂纹 (战痕累累),$2.32 USD,55
沙漠之鹰（StatTrak™） | 遗产 (战痕累累),$9.57 USD,18
USP 消音版 | 不锈钢 (破损不堪),$4.92 USD,49
CZ75（StatTrak™） | 花纹钢板 (略有磨损),$9.15 USD,28
CZ75（StatTrak™） | 梅红时刻 (久经沙场),$18.25 USD,12
P250（StatTrak™） | 暗潮 (崭新出厂),$50.65 USD,23
P2000（StatTrak™） | 红色碎片迷彩 (破损不堪),$1.57 USD,30
CZ75 | 维多利亚 (破损不堪),$9.48 USD,15
FN57（StatTrak™） | 铜色星系 (略有磨损),$8.82 USD,30
沙漠之鹰（StatTrak™） | 遗产 (久经沙场),$9.23 USD,85
FN57 | 铜色星系 (崭新出厂),$6.95 USD,194
Tec-9 | 沙尘暴 (战痕累累),$0.15 USD,218
SG 553 | 电子脉冲 (略有磨损),$3.86 USD,270
CZ75 | 梅红时刻 (久经沙场),$24.93 USD,29
沙漠之鹰 | 遗产 (久经沙场),$4.76 USD,195
沙漠之鹰 | 遗产 (略有磨损),$5.86 USD,113
FN57 | 铜色星系 (久经沙场),$5.89 USD,15
CZ75 | 维多利亚 (久经沙场),$4.65 USD,82
P2000（StatTrak™） | 红色碎片迷彩 (战痕累累),$1.22 USD,133
格洛克 18 型（StatTrak™） | 蓝色裂纹 (破损不堪),$4.26 USD,29
P2000 | 红色碎片迷彩 (破损不堪),$0.73 USD,46
双持贝瑞塔（StatTrak™） | 黑豹 (战痕累累),$1.11 USD,37
沙漠之鹰（StatTrak™） | 遗产 (略有磨损),$16.82 USD,35
CZ75 | 梅红时刻 (略有磨损),$27.64 USD,20
CZ75 | 花纹钢板 (久经沙场),$5.40 USD,19
P250 | 暗潮 (略有磨损),$26.69 USD,41
P2000（StatTrak™） | 红色碎片迷彩 (崭新出厂),$2.50 USD,94
CZ75（StatTrak™） | 花纹钢板 (崭新出厂),$8.87 USD,28
格洛克 18 型 | 蓝色裂纹 (崭新出厂),$9.68 USD,23
P250 | 暗潮 (久经沙场),$27.84 USD,9
CZ75 | 深红之网 (久经沙场),$1.01 USD,290
CZ75（StatTrak™） | 深红之网 (久经沙场),$1.12 USD,202
Tec-9 | 钛片 (崭新出厂),$6.81 USD,99
P2000 | 红色碎片迷彩 (崭新出厂),$1.27 USD,183
印花 | 鸿运当头（闪亮）,$6.33 USD,35
印花 | 黑桃 A（全息）,$5.86 USD,55
印花 | 幸运十三（闪亮）,$12.16 USD,38
CZ75 | 花纹钢板 (崭新出厂),$6.99 USD,105
双持贝瑞塔 | 黑豹 (破损不堪),$0.71 USD,68
格洛克 18 型 | 蓝色裂纹 (破损不堪),$1.20 USD,130
Tec-9 | 钛片 (久经沙场),$6.44 USD,8
CZ75（StatTrak™） | 深红之网 (略有磨损),$4.16 USD,63
CZ75 | 维多利亚 (崭新出厂),$8.54 USD,35
双持贝瑞塔（StatTrak™） | 黑豹 (略有磨损),$2.13 USD,72
FN57（StatTrak™） | 铜色星系 (崭新出厂),$10.67 USD,47
格洛克 18 型（StatTrak™） | 蓝色裂纹 (略有磨损),$6.74 USD,105
P2000 | 红色碎片迷彩 (战痕累累),$0.70 USD,80
双持贝瑞塔 | 黑豹 (崭新出厂),$1.44 USD,189
沙漠之鹰 | 遗产 (破损不堪),$5.07 USD,22
CZ75 | 深红之网 (崭新出厂),$13.16 USD,24
沙漠之鹰 | 遗产 (崭新出厂),$10.60 USD,57
CZ75 | 深红之网 (破损不堪),$0.78 USD,92
P2000（StatTrak™） | 红色碎片迷彩 (久经沙场),$1.00 USD,211
Tec-9 | 钛片 (略有磨损),$5.92 USD,51
CZ75 | 花纹钢板 (略有磨损),$5.63 USD,43
P2000（StatTrak™） | 红色碎片迷彩 (略有磨损),$1.87 USD,152
AWP（StatTrak™） | 二西莫夫 (久经沙场),$243.87 USD,24
法玛斯（StatTrak™） | 中士 (破损不堪),$2.30 USD,41
SG 553（StatTrak™） | 电子脉冲 (久经沙场),$2.59 USD,276
内格夫（StatTrak™） | 青绿地形 (破损不堪),$0.31 USD,132
新星 | 古董枪 (久经沙场),$7.72 USD,23
MAC-10 | 炽热 (崭新出厂),$4.32 USD,73
MAG-7（StatTrak™） | 天空守卫 (崭新出厂),$1.07 USD,200
P90（StatTrak™） | 三角 (战痕累累),$13.24 USD,20
新星（StatTrak™） | 古董枪 (崭新出厂),$23.50 USD,36
Tec-9 | 沙尘暴 (略有磨损),$0.93 USD,119
MAC-10（StatTrak™） | 炽热 (略有磨损),$6.25 USD,62
AK-47 | 红线 (破损不堪),$14.60 USD,200
AK-47（StatTrak™） | 红线 (战痕累累),$20.47 USD,68
MAC-10（StatTrak™） | 炽热 (破损不堪),$2.38 USD,60
AUG（StatTrak™） | 变色龙 (崭新出厂),$27.63 USD,24
UMP-45（StatTrak™） | 下士 (崭新出厂),$1.38 USD,77
AK-47（StatTrak™） | 红线 (破损不堪),$36.58 USD,37
法玛斯（StatTrak™） | 中士 (略有磨损),$8.59 USD,28
AUG（StatTrak™） | 变色龙 (破损不堪),$12.59 USD,13
AWP | 二西莫夫 (破损不堪),$73.77 USD,89
SG 553（StatTrak™） | 电子脉冲 (略有磨损),$10.07 USD,122
AUG | 变色龙 (战痕累累),$4.25 USD,54
SG 553（StatTrak™） | 电子脉冲 (战痕累累),$2.48 USD,151
Tec-9（StatTrak™） | 沙尘暴 (破损不堪),$0.54 USD,179
内格夫（StatTrak™） | 青绿地形 (崭新出厂),$1.06 USD,176
法玛斯 | 中士 (战痕累累),$0.89 USD,198
USP 消音版（StatTrak™） | 守护者 (久经沙场),$3.60 USD,344
内格夫（StatTrak™） | 青绿地形 (略有磨损),$0.69 USD,134
法玛斯（StatTrak™） | 中士 (久经沙场),$2.50 USD,194
UMP-45（StatTrak™） | 下士 (久经沙场),$0.34 USD,396
MAC-10（StatTrak™） | 炽热 (久经沙场),$2.80 USD,164
P90 | 三角 (破损不堪),$6.51 USD,16
法玛斯（StatTrak™） | 中士 (战痕累累),$2.20 USD,109
新星（StatTrak™） | 古董枪 (略有磨损),$17.78 USD,18
印花 | 香蕉,$1.22 USD,112
印花 | 啪啦（全息）,$4.69 USD,53
印花 | 笨香蕉（闪亮）,$36.65 USD,37
AUG（StatTrak™） | 变色龙 (战痕累累),$13.45 USD,9
加利尔 AR | 神祗 (久经沙场),$0.47 USD,184
P90 | 沙漠战争 (久经沙场),$11.70 USD,31
MAC-10 | 诅咒 (久经沙场),$3.48 USD,51
印花 | 我的 AWP 替代品,$1.39 USD,123
CZ75 | 毒镖 (久经沙场),$0.83 USD,109
印花 | 神烦爆破狗,$3.60 USD,129
加利尔 AR | 神祗 (崭新出厂),$1.77 USD,164
印花 | 烧光他们,$0.29 USD,108
PP-野牛 | 古董枪 (略有磨损),$3.53 USD,111
XM1014 | 天空守卫 (略有磨损),$3.46 USD,112
双持贝瑞塔（StatTrak™） | 报应 (略有磨损),$1.90 USD,36
MAC-10 | 诅咒 (崭新出厂),$5.38 USD,48
XM1014 | 天空守卫 (破损不堪),$3.04 USD,27
双持贝瑞塔 | 报应 (略有磨损),$2.01 USD,31
AUG（StatTrak™） | 力矩 (崭新出厂),$10.62 USD,87
M4A1 消音型 | 原子合金 (久经沙场),$16.24 USD,261
PP-野牛（StatTrak™） | 古董枪 (崭新出厂),$12.47 USD,50
M4A1 消音型 | 原子合金 (略有磨损),$24.00 USD,236
M4A1 消音型 | 原子合金 (崭新出厂),$46.98 USD,51
AUG（StatTrak™） | 力矩 (略有磨损),$9.77 USD,54
MAC-10（StatTrak™） | 诅咒 (崭新出厂),$12.37 USD,25
P90（StatTrak™） | 沙漠战争 (久经沙场),$1.84 USD,82
Tec-9（StatTrak™） | 艾萨克 (破损不堪),$0.92 USD,274
加利尔 AR（StatTrak™） | 神祗 (崭新出厂),$3.56 USD,160
猎杀者匕首（★） | 狩猎网格 (久经沙场),$91.38 USD,22
USP 消音版（StatTrak™） | 猎户 (崭新出厂),$102.08 USD,28
Tec-9（StatTrak™） | 艾萨克 (崭新出厂),$17.73 USD,38
SCAR-20 | 次时代 (破损不堪),$14.96 USD,11
加利尔 AR（StatTrak™） | 神祗 (战痕累累),$0.86 USD,93
截短霰弹枪 | 森林 DDPAT (崭新出厂),$0.11 USD,331
USP 消音版（StatTrak™） | 猎户 (略有磨损),$75.05 USD,24
M4A1 消音型（StatTrak™） | 原子合金 (破损不堪),$20.52 USD,19
MAC-10（StatTrak™） | 诅咒 (略有磨损),$9.56 USD,25
猎杀者匕首（★） | 噩梦之夜 (战痕累累),$117.49 USD,11
AK-47 | 火神 (破损不堪),$61.88 USD,24
USP 消音版 | 猎户 (破损不堪),$42.22 USD,7
CZ75 | 燕尾 (破损不堪),$0.78 USD,165
猎杀者匕首（★） | 枯焦之色 (略有磨损),$112.47 USD,11
加利尔 AR | 燕尾 (破损不堪),$0.69 USD,160
AUG | 力矩 (战痕累累),$3.00 USD,22
P90 | 沙漠战争 (破损不堪),$2.19 USD,25
双持贝瑞塔（StatTrak™） | 报应 (久经沙场),$1.55 USD,91
PP-野牛（StatTrak™） | 古董枪 (略有磨损),$9.36 USD,51
MAC-10 | 诅咒 (破损不堪),$6.46 USD,7
P90（StatTrak™） | 沙漠战争 (略有磨损),$3.74 USD,48
格洛克 18 型 | 夺命撼响 (战痕累累),$0.12 USD,585
MAC-10（StatTrak™） | 诅咒 (久经沙场),$9.74 USD,10
印花 | 猎头者（闪亮）,$53.37 USD,15
AUG（StatTrak™） | 力矩 (久经沙场),$6.98 USD,86
PP-野牛 | 古董枪 (破损不堪),$3.00 USD,48
PP-野牛（StatTrak™） | 古董枪 (久经沙场),$7.68 USD,34
印花 | 惊惧骷髅,$1.15 USD,96
AUG | 力矩 (久经沙场),$3.22 USD,120
P90 | 沙漠战争 (崭新出厂),$1.93 USD,114
PP-野牛 | 古董枪 (战痕累累),$3.33 USD,43
AK-47 | 表面淬火 (破损不堪),$93.00 USD,88
AK-47 | 红色层压板 (略有磨损),$31.22 USD,131
加利尔 AR（StatTrak™） | 橙黄 DDPAT (久经沙场),$15.47 USD,41
P250（StatTrak™） | 狂野飞溅 (久经沙场),$19.89 USD,13
M4A4（StatTrak™） | 渐变斑纹 (破损不堪),$4.68 USD,111
AK-47（StatTrak™） | 红色层压板 (久经沙场),$77.36 USD,36
XM1014 | 工业牧草 (战痕累累),$1.08 USD,44
加利尔 AR | 冬之森林 (久经沙场),$3.45 USD,75
SCAR-20 | 溅射果酱 (久经沙场),$6.26 USD,38
PP-野牛 | 辐照警报 (战痕累累),$0.93 USD,154
MAG-7 | 辐照警报 (略有磨损),$2.58 USD,110
法玛斯 | 对比涂装 (破损不堪),$1.79 USD,50
新星 | 森林之叶 (破损不堪),$0.99 USD,42
G3SG1 | 极寒迷彩 (战痕累累),$3.05 USD,27
P250 | 硝烟 (久经沙场),$0.98 USD,142
截短霰弹枪 | 辐照警报 (战痕累累),$1.00 USD,53
M4A4 | 丛林虎 (破损不堪),$3.87 USD,36
XM1014 | 辐射警告 (久经沙场),$4.88 USD,49
截短霰弹枪 | 辐照警报 (破损不堪),$1.16 USD,34
SSG 08 | 青苔虚线 (破损不堪),$0.94 USD,53
MAC-10 | 狂哮飓风 (破损不堪),$0.82 USD,50
